ticker,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_1_date,day_2_date,day_3_date,day_4_date,day_5_date,day_6_date,day_7_date,day_15,day_16,day_15_date,day_16_date,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_1_date,month_2_date,month_3_date,month_4_date,month_5_date,month_6_date,month_7_date
AA,7.13,7.04,7.11,7.05,7.12,7.21,7.16,1970-03-25,1970-03-26,1970-03-30,1970-03-31,1970-04-01,1970-04-02,1970-04-03,7.02,6.96,1970-04-09,1970-04-10,6.41,5.05,5.05,4.85,5.14,5.06,23.01,1970-04-27,1970-05-25,1970-06-25,1970-07-27,1970-08-25,1970-09-25,2021-01-19
ABCM,19.75,18.90,19.40,19.46,19.11,19.12,19.00,2020-10-22,2020-10-23,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,20.09,19.13,2020-11-06,2020-11-09,18.44,19.92,,,,,,2020-11-23,2020-12-22,,,,,
ABNB,144.71,139.25,130.00,124.80,137.99,147.05,157.30,2020-12-10,2020-12-11,2020-12-14,2020-12-15,2020-12-16,2020-12-17,2020-12-18,149.00,149.00,2020-12-28,2020-12-28,148.13,,,,,,,2021-01-11,,,,,,
ACA,29.13,28.33,29.49,32.93,32.58,30.31,30.88,2018-11-05,2018-11-06,2018-11-07,2018-11-08,2018-11-09,2018-11-12,2018-11-13,29.60,28.79,2018-11-20,2018-11-21,26.52,30.45,29.63,34.65,31.30,37.62,62.18,2018-12-06,2019-01-07,2019-02-05,2019-03-05,2019-04-05,2019-05-06,2021-01-19
ACCD,29.70,30.00,30.15,34.31,34.00,34.90,32.99,2020-07-02,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-13,33.62,32.72,2020-07-17,2020-07-20,33.03,34.47,38.74,33.26,49.86,41.45,,2020-08-03,2020-09-02,2020-10-02,2020-11-02,2020-12-02,2021-01-04,
ACI,15.45,15.57,15.77,15.76,15.81,15.52,15.18,2020-06-26,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-06,2020-07-07,14.00,14.00,2020-07-13,2020-07-13,15.24,14.70,13.61,14.80,15.86,15.98,,2020-07-27,2020-08-26,2020-09-28,2020-10-26,2020-11-27,2020-12-28,
ACIA,30.95,28.12,28.45,28.00,28.38,29.38,32.70,2016-05-13,2016-05-16,2016-05-17,2016-05-18,2016-05-19,2016-05-20,2016-05-23,39.28,39.28,2016-05-31,2016-05-31,36.26,49.62,102.33,106.30,93.92,67.41,114.70,2016-06-13,2016-07-13,2016-08-15,2016-09-13,2016-10-13,2016-11-14,2021-01-19
ADCT,30.00,31.14,32.38,34.33,35.30,36.40,36.14,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-26,2020-05-27,36.82,35.85,2020-06-02,2020-06-03,40.30,48.69,39.00,45.50,28.65,33.50,32.28,2020-06-18,2020-07-20,2020-08-18,2020-09-18,2020-10-19,2020-11-18,2021-01-19
ADNT,49.35,49.23,49.34,47.75,46.75,44.35,45.50,2016-10-17,2016-10-18,2016-10-19,2016-10-21,2016-10-24,2016-10-25,2016-10-26,45.30,45.00,2016-11-01,2016-11-02,53.50,52.62,62.88,64.01,72.82,67.27,34.56,2016-11-17,2016-12-19,2017-01-17,2017-02-17,2017-03-17,2017-04-17,2021-01-19
ADPT,40.30,48.30,40.10,38.89,39.16,40.51,37.51,2019-06-27,2019-06-28,2019-07-01,2019-07-02,2019-07-03,2019-07-05,2019-07-08,39.00,38.14,2019-07-12,2019-07-15,37.76,44.49,30.31,26.09,27.83,29.27,66.88,2019-07-29,2019-08-27,2019-09-27,2019-10-28,2019-11-27,2019-12-27,2021-01-19
ADT,12.39,11.45,11.91,11.91,11.90,11.90,12.08,2018-01-19,2018-01-22,2018-01-23,2018-01-24,2018-01-25,2018-01-26,2018-01-29,12.64,12.64,2018-02-05,2018-02-05,11.59,9.14,9.38,7.75,8.26,9.36,8.84,2018-02-20,2018-03-19,2018-04-19,2018-05-21,2018-06-19,2018-07-19,2021-01-19
ADV,10.58,10.70,10.70,10.60,10.75,10.80,10.77,2020-01-09,2020-01-13,2020-01-14,2020-01-17,2020-01-21,2020-01-28,2020-02-05,10.80,10.80,2020-01-28,2020-01-28,10.80,10.68,10.15,10.60,11.15,11.35,11.85,2020-02-18,2020-03-16,2020-04-20,2020-05-12,2020-06-09,2020-07-09,2021-01-19
AFRM,97.24,114.94,117.00,113.01,,,,2021-01-13,2021-01-14,2021-01-15,2021-01-19,,,,,,,,,,,,,,,,,,,,,
AFYA,23.84,23.56,24.52,27.45,27.66,28.15,28.62,2019-07-19,2019-07-22,2019-07-23,2019-07-24,2019-07-25,2019-07-26,2019-07-29,25.69,25.69,2019-08-05,2019-08-05,27.03,24.02,25.30,27.64,28.55,29.13,24.10,2019-08-19,2019-09-19,2019-10-21,2019-11-19,2019-12-19,2020-01-21,2021-01-19
AGR,36.12,33.26,33.81,35.08,36.96,37.45,36.60,2015-12-17,2015-12-18,2015-12-21,2015-12-22,2015-12-23,2015-12-24,2015-12-28,37.85,37.85,2016-01-04,2016-01-04,38.72,41.31,39.68,38.45,40.59,43.44,45.44,2016-01-19,2016-02-17,2016-03-17,2016-04-18,2016-05-17,2016-06-17,2021-01-19
AHCO,9.70,9.70,9.75,9.65,9.75,9.62,9.60,2018-06-12,2018-06-13,2018-06-14,2018-06-18,2018-06-27,2018-06-29,2018-07-16,9.75,9.62,2018-06-27,2018-06-29,9.60,9.76,9.70,9.72,9.80,9.83,37.39,2018-07-16,2018-08-14,2018-09-19,2018-10-15,2018-11-27,2018-12-21,2021-01-19
AI,92.49,130.00,119.58,102.36,102.00,113.69,117.24,2020-12-09,2020-12-10,2020-12-11,2020-12-14,2020-12-15,2020-12-16,2020-12-17,161.00,145.88,2020-12-24,2020-12-28,135.62,,,,,,,2021-01-11,,,,,,
AIH,10.03,9.35,9.21,8.80,8.37,8.34,8.33,2019-10-25,2019-10-28,2019-10-29,2019-10-30,2019-11-01,2019-11-04,2019-11-05,8.39,8.39,2019-11-11,2019-11-11,6.63,6.25,7.20,7.34,8.33,8.49,5.09,2019-11-25,2019-12-26,2020-01-27,2020-02-25,2020-03-25,2020-04-27,2021-01-19
ALC,58.04,57.30,55.60,54.43,55.75,57.02,56.61,2019-04-09,2019-04-10,2019-04-11,2019-04-12,2019-04-15,2019-04-16,2019-04-17,56.65,57.88,2019-04-24,2019-04-25,60.69,59.11,60.69,59.95,58.60,56.25,72.80,2019-05-09,2019-06-10,2019-07-09,2019-08-09,2019-09-09,2019-10-09,2021-01-19
ALGM,17.70,18.30,19.75,21.00,21.00,22.75,24.00,2020-10-29,2020-10-30,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,20.82,21.02,2020-11-13,2020-11-16,23.95,26.58,,,,,,2020-11-30,2020-12-29,,,,,
ALLK,31.25,35.05,36.29,38.12,39.30,39.97,39.79,2018-07-19,2018-07-20,2018-07-23,2018-07-24,2018-07-25,2018-07-26,2018-07-27,41.02,39.69,2018-08-03,2018-08-06,40.38,45.28,43.11,55.32,47.17,41.15,127.03,2018-08-20,2018-09-19,2018-10-19,2018-11-19,2018-12-19,2019-01-22,2021-01-19
ALLO,25.00,26.81,26.96,25.87,24.98,23.80,23.40,2018-10-11,2018-10-12,2018-10-15,2018-10-16,2018-10-17,2018-10-18,2018-10-19,23.00,23.02,2018-10-26,2018-10-29,27.02,25.99,29.51,30.27,28.26,26.60,31.63,2018-11-12,2018-12-11,2019-01-11,2019-02-11,2019-03-11,2019-04-11,2021-01-19
ALTR,18.31,17.41,19.37,18.97,19.51,20.36,20.40,2017-11-01,2017-11-02,2017-11-03,2017-11-06,2017-11-07,2017-11-08,2017-11-09,23.94,24.16,2017-11-16,2017-11-17,23.46,24.27,27.49,26.25,30.15,28.75,60.69,2017-12-01,2018-01-02,2018-02-01,2018-03-01,2018-04-02,2018-05-01,2021-01-19
