ticker,ticker_original,ipo_date_stockanalysis,ipo_price,current,name,return
AACQ,,2020-07-14,10.00,11.03,Artius Acquisition,10.25%
ABCL,,2020-12-11,20.00,50.51,AbCellera Biologics,152.53%
ABCM,,2020-10-22,17.50,23.76,Abcam PLC,35.77%
ABNB,,2020-12-10,68.00,182.15,Airbnb,167.87%
ABST,,2020-10-28,11.00,13.31,Absolute Software,21.00%
ACAC,,2020-10-23,10.00,11.21,Acies Acquisition,12.10%
ACAM,,2019-02-22,10.00,12.30,Acamar Partners Acquisition,23.00%
ACCD,,2020-07-02,22.00,59.15,Accolade,168.84%
ACEV,,2020-07-28,10.00,11.25,ACE Convergence Acquisition,12.50%
ACI,,2020-06-26,16.00,17.50,Albertsons Companies,9.38%
ACIC,,2020-10-28,10.00,10.54,Atlas Crest Investment,5.40%
ACKIT,,2020-12-21,10.00,10.47,Ackrell SPAC Partners I,4.70%
ACND,,2020-07-24,10.00,10.56,Ascendant Digital Acquisition,5.60%
ACTC,,2020-09-23,10.00,25.66,ArcLight Clean Transition,156.55%
ADCT,,2020-05-15,19.00,33.22,ADC Therapeutics SA,74.84%
ADERU,ADER,2021-01-15,10.00,10.70,26 Capital Acquisition,7.00%
ADEX,ADEX,2021-01-12,10.00,10.42,Adit EdTech Acquisition,4.20%
ADOC,,2020-11-10,10.00,10.30,Edoc Acquisition,2.95%
ADPT,,2019-06-27,20.00,67.83,Adaptive Biotechnologies,239.15%
ADTX,,2020-06-30,9.00,3.56,Aditx Therapeutics,-60.44%
AEACU,AEAC,2021-01-15,10.00,10.47,Authentic Equity Acquisition,4.70%
AFIB,,2020-08-06,18.00,25.82,Acutus Medical,43.44%
AFRM,,2021-01-13,49.00,120.15,Affirm Holdings,145.20%
AFYA,,2019-07-19,19.00,23.50,Afya,23.68%
AGBA,,2019-05-14,10.00,10.57,AGBA Acquisition,5.70%
AGC,,2020-10-01,10.00,16.84,Altimeter Growth Corp.,68.40%
AGCB,,2021-01-07,10.00,14.03,Altimeter Growth 2,40.25%
AHAC,,2020-09-18,10.00,10.23,Alpha Healthcare Acquisition,2.32%
AI,,2020-12-09,42.00,126.11,C3.ai,200.26%
AIH,,2019-10-25,12.00,5.10,Aesthetic Medical International,-57.50%
AJAX,,2020-10-28,10.00,12.57,Ajax I,25.70%
AKIC,,2021-01-06,10.00,10.54,Sports Ventures Acquisition,5.40%
AKRO,,2019-06-20,16.00,30.94,Akero Therapeutics,93.34%
AKUS,,2020-06-26,17.00,16.81,Akouos,-1.12%
ALEC,,2019-02-07,19.00,16.52,Alector,-13.08%
ALGM,,2020-10-29,14.00,33.49,Allegro MicroSystems,139.21%
ALGS,,2020-10-16,15.00,32.70,Aligos Therapeutics,118.00%
ALRS,,2019-09-13,21.00,28.34,Alerus Financial,34.95%
ALTU,,2020-12-09,10.00,10.63,Altitude Acquisition,6.30%
ALUS,,2019-11-26,10.00,10.43,Alussa Energy Acquisition,4.30%
ALVR,,2020-07-30,17.00,42.60,AlloVir,150.56%
ALXO,,2020-07-17,19.00,82.35,ALX Oncology Holdings,333.42%
AMHC,,2019-11-20,10.00,10.36,Amplitude Healthcare Acquisition,3.60%
AMK,,2019-07-18,22.00,24.82,AssetMark Financial,12.82%
AMST,,2020-09-25,5.00,4.37,Amesite,-12.70%
AMTI,,2020-06-05,14.00,39.10,Applied Molecular Transport,179.29%
AMWL,,2020-09-17,18.00,29.47,Amwell,63.72%
ANCN,,2019-02-12,11.50,2.48,Anchiano Therapeutics,-78.43%
ANDA,,2019-01-29,10.00,11.37,Andina Acquisition III,13.70%
ANNX,,2020-07-24,17.00,26.89,Annexon Biosciences,58.18%
ANPC,,2020-01-30,12.00,5.93,AnPac Bio-Medical Science,-50.55%
ANVS,,2020-01-29,6.00,10.64,Annovis Bio,77.33%
AONE,,2020-08-18,10.00,11.15,One,11.49%
API,,2020-06-26,20.00,46.43,Agora,132.13%
APLT,,2019-05-14,10.00,19.80,Applied Therapeutics,97.95%
APRE,,2019-10-03,15.00,5.73,Aprea Therapeutics,-61.83%
APSG,,2020-10-02,10.00,10.90,Apollo Strategic Growth Capital,9.00%
APXT,,2019-09-17,10.00,15.55,Apex Technology Acquisition,55.50%
ARBG,,2020-11-20,10.00,10.26,Aequi Acquisition,2.60%
AREC,,2019-02-15,4.00,2.78,American Resources,-30.63%
ARQT,,2020-01-31,17.00,26.73,Arcutis Biotherapeutics,57.24%
ARRY,,2020-10-15,22.00,50.85,Array Technologies,131.11%
ARYA,,2020-08-07,10.00,11.49,Arya Sciences Acquisition III,14.90%
ARYB,,2020-06-05,10.00,10.10,ARYA Sciences Acquisition II,1.00%
ASAN,,2020-09-30,21.00,38.93,Asana,85.38%
ASAQ,,2020-10-02,10.00,10.34,Atlantic Street Acquisition,3.40%
