tour,event,to_par_gross,pos_gross,money_gross,round1,round2,round3,round4,points_gross,tour_handicap,to_par_net,money_net,pos_net,points_net,row_id
ProTee United,Masters Tournament,8,T14,"$144,231",75,71,78,0,64,-5.7,25,,T50,10,101
Brace33 Short Bus Tour,Sandy Hollow Par3 v2 LD,-6,T2,,48,0,0,0,0,-5.7,0,,T13,0,100
ProTee Exhibition,Olympic Country Club F&R,-6,T8,,67,0,0,0,0,-5.7,0,,31,0,99
True Sim Society,Lake Of Isles North V2L,6,T37,,78,0,0,0,0,-5.7,12,,T62,0,98
triplebogeysrbetter 21st,St Andrews - Old Course Tourn.,-4,3,,68,0,0,0,0,-5.7,2,,T25,0,97
ProTee Exhibition,Lahontan Country Club,-1,T11,,71,0,0,0,0,-5.7,5,,T33,0,96
True Sim Society,Bellewood CC V1L,-6,T2,,65,0,0,0,0,-5.7,0,,T13,0,95
WizardofCoz Noonan Club,JulianTang GoldenBearOPEN,-5,T7,"$228,311",66,0,0,0,90,-4.6,0,"$41,152",T14,57,94
ProTee Exhibition,Solitude Links GC,-7,T9,,64,0,0,0,0,-4.6,-2,,T27,0,93
ProTee United,Sanderson Farms Champions,-2,T14,"$71,429",70,72,0,0,57,-4.6,7,,T74,3,92
ProTee Q-School,El Camaleon Mayakoba G.C.,-12,8,,67,65,0,0,0,-4.6,-3,,T19,0,91
WizardofCoz Noonan Club,Necedah Pines GC,5,T39,,75,0,0,0,17,-4.2,9,,T72,3,90
ProTee Exhibition,Omaha Country Club,-4,T4,,67,0,0,0,0,-4.2,0,,T12,0,89
ProTee United,Corales Puntacana Resort,-7,11,"$189,573",67,70,0,0,70,-4.2,1,,T46,11,88
ProTee Q-School,Golf Club of Houston,-13,3,,63,68,0,0,0,-3.6,-6,,7,0,87
True Sim Society,Yale Golf Course - LIDAR,-5,T3,,65,0,0,0,0,-3.6,-1,,T3,0,86
WizardofCoz Noonan Club,Mookie Pointing Sparrows,1,T24,"$42,373",73,0,0,0,37,-4.2,5,,T45,11,85
ProTee Exhibition,Sanctuary CO LiDAR v1,-5,T7,,67,0,0,0,0,-4.2,-1,,T13,0,84
ProTee Q-School,Kapalua Plantation Course,-7,T12,,68,71,0,0,0,-3.4,0,,30,0,83
ProTee Exhibition,Bay Creek Palmer B9,-5,T4,,31,0,0,0,0,-3.4,-2,,T10,0,82
ProTee Q-School,Copperhead at Innisbrook Resort,-11,2,,67,64,0,0,0,-1.4,-8,,T7,0,81
ProTee United,Tour Championship,5,T25,"$73,059",68,77,0,0,36,-1.4,8,,T42,14,80
ProTee Exhibition,Bay Creek Palmer F9,0,T12,,36,0,0,0,0,-1.4,1,,T17,0,79
WizardofCoz Noonan Club,Mthunt Single Barrel OPEN,-8,T3,"$458,333",64,0,0,0,190,-1.4,-7,"$528,455",T2,300,78
ProTee United,BMW Championship,2,9,"$265,403",72,70,0,0,80,-2.8,8,"$65,844",T24,37,77
ProTee Q-School,Makray Memorial LIDAR,-1,T9,,69,72,0,0,0,-2.8,5,,T20,0,76
WizardofCoz Noonan Club,TBLC/ESK Sipn CreekH2O,2,T11,"$117,925",74,0,0,0,70,-2.8,5,"$85,470",T12,65,75
gCool Tour,The Lone Red Maple,-1,10,,70,0,0,0,0,-2.8,2,,T11,0,74
Brace33 Short Bus Tour,SBD Par 3 Blue Tee 2280,-2,3,,52,0,0,0,0,-2.8,1,,4,0,73
ProTee Exhibition,Jackson Park,-7,T1,,63,0,0,0,0,-2.8,-4,,6,0,72
ProTee United,Northern Trust,5,T38,,74,75,0,0,18,-2.8,11,,T100,0,71
WizardofCoz Noonan Club,Ironfall 2,5,T25,"$46,083",78,0,0,0,36,-2.8,8,,T36,20,70
Brace33 Short Bus Tour,Pelican Bay par 3,2,T15,,26,30,0,0,0,-2.6,7,,T18,0,69
gCool Tour,McCory Shores Golf Club,-2,2,,70,0,0,0,0,-2.6,1,,T4,0,68
ProTee Exhibition,Golf Club Fossil Creek L,-5,T5,,67,0,0,0,0,-2.6,-2,,T11,0,67
ProTee Q-School,Austin CC Tour,-3,13,,75,66,0,0,0,-5.4,8,,31,0,66
ProTee United,Wyndham Championship,1,T22,"$75,829",73,70,0,0,41,-2.6,6,,T83,2,65
WizardofCoz Noonan Club,Robert Trent Jones GC,7,T36,,78,0,0,0,20,-5.4,12,,T62,5,64
Brace33 Short Bus Tour,Sparrow Point Par 3,1,T6,,55,0,0,0,0,-5.4,6,,T19,0,63
gCool Tour,The Mantis Tour,7,8,,80,0,0,0,0,-2.6,10,,11,0,62
ProTee Exhibition,Whitecraigs Golf Club,0,T7,,70,0,0,0,0,-5.4,5,,T20,0,61
ProTee United,PGA Championship,11,T15,"$121,457",70,80,77,0,61,-5.4,27,,53,8,60
ProTee Q-School,Club De Golf Chapultepec,10,2,,81,71,0,0,0,-5.4,21,,10,0,59
